id_venta,fecha_venta,cliente_id,producto_id,categoria_producto,cantidad_vendida,precio_unitario,coste_unitario,producto,pais
e2eed02b-f8df-4c10-be8f-755b81dca649,2024-06-15,d5911a8a-461f-47e9-9f23-7f384fa66faa,592707b7-4244-4f1a-a877-04b702f33488,Hogar,1,194.13781206441342,125.54285057471265,Mesa,Alemania
003a9a19-ca1e-4f3c-bedd-f583809aa1ae,2024-08-29,09ade1b6-db01-4863-a2d5-0d7f2fb7179a,c4f9b2fd-6869-457f-8a43-2a9f211d6bca,Libros,2,200.0098349781219,128.5512581063554,Cuento,Argentina
b9c23517-c94e-469b-8eac-e6363f635a67,2023-07-27,14e23bcc-42d1-4ed7-84f5-ec7ae79c28c2,605028d8-e145-4afa-aad5-e81329caff54,Electrónica,2,198.90503982842407,128.34457142857144,Laptop,Alemania
36de1235-37eb-4f86-9c2f-eba48ca1bd98,2023-11-15,c441e1b1-8d1b-4fa6-a1a8-0d43ddeac8e0,75f20eeb-3033-4c1e-baf0-8860ca53d881,Electrónica,2,197.9381926217956,127.76854838709677,Televisor,Francia
3fc2dbdc-cf33-4fbb-af21-12f1f22356b4,2023-05-20,926c8fcd-e913-40fe-9b0b-4d71e06eb6ad,197c9417-8194-4a26-98c5-8af6187147ad,Libros,3,196.21222129103984,128.34146562905318,Ensayo,Estados Unidos
84e4c1d5-d6a0-4119-a9be-df4e3a5179c4,2024-01-15,3b7c525a-9c25-41cf-8773-3e50e2c1d798,92182a5c-f40f-4dbd-a0d4-97643e2c372a,Ropa,1,201.0800010001377,130.47048919226393,Pantalones,Reino Unido
62315a70-d0d5-4377-8526-6203610ff430,2023-08-14,f21fd1cd-a6b2-43ab-926d-00b5c603c596,d5d1462b-c135-4e2f-b2d3-d32587ecc5e6,Electrónica,1,198.90503982842407,128.34457142857144,Laptop,Alemania
8a095abe-81bc-4c00-9f92-6530002bb589,2023-12-07,13207f8e-f51f-42d8-a5eb-4b38282357a2,987d60cc-a6b4-4ade-ae2a-be1d809893ad,Electrónica,2,186.6186999876207,120.61770512820513,Smartphone,Estados Unidos
b2b94d6c-bb99-4b51-932f-8cae58b5c60f,2023-04-09,cd3ffade-29b3-4e4a-a804-a16ffe39d9e2,e5fa446c-960b-474e-ac97-faeb89b9c490,Hogar,1,194.13781206441342,125.54285057471265,Mesa,Estados Unidos
a04f1c55-c0d5-4894-ae18-60f709320fda,2024-05-30,7475d15f-a2d8-47c9-9c54-40d7d8767c14,ee0189fb-2d3f-4273-8604-9af1548e873e,Hogar,3,194.13781206441342,125.54285057471265,Mesa,Japón
